value	lower	upper	time
549604	81923.6	1297560	151302.605210421
548409	80083.9	1296210	152304.609218437
546898	78436	1296090	153306.613226453
545621	76912.4	1295230	154308.617234469
544385	75312.6	1295230	155310.621242485
543232	73874.6	1295230	156312.625250501
542005	72261.5	1294250	157314.629258517
540449	70705.8	1294250	158316.633266533
538634	69676.2	1294250	159318.637274549
536822	68153.8	1294250	160320.641282565
535116	67666.2	1293640	161322.645290581
533249	66607	1292290	162324.649298597
531123	65653.9	1291400	163326.653306613
528985	64873.3	1291400	164328.657314629
526830	64127.2	1291300	165330.661322645
524244	63532.8	1290920	166332.665330661
521737	62963.8	1289960	167334.669338677
519195	61900.8	1288690	168336.673346693
516394	61087.7	1288480	169338.677354709
514071	60352.2	1286980	170340.681362725
510621	59502.7	1284680	171342.685370741
505006	59079.6	1283340	172344.689378758
502109	58465.2	1282870	173346.693386774
499140	58345.8	1280980	174348.69739479
495146	58088.7	1280600	175350.701402806
491655	57188.8	1279200	176352.705410822
487032	56621.2	1278670	177354.709418838
483110	56468.6	1277330	178356.713426854
478992	56170.3	1277310	179358.71743487
474253	55896.9	1277310	180360.721442886
468810	55721.2	1270170	181362.725450902
462898	55487.1	1266460	182364.729458918
457857	54970.4	1264280	183366.733466934
451825	54768.1	1262610	184368.73747495
445252	54560.6	1262610	185370.741482966
437362	54373.1	1258180	186372.745490982
428911	54118.6	1253820	187374.749498998
419139	53647.5	1253480	188376.753507014
408120	53367.6	1252180	189378.75751503
396177	53259.2	1247580	190380.761523046
385847	53110.4	1246250	191382.765531062
372479	52813.6	1243770	192384.769539078
358289	52581.2	1236090	193386.773547094
343486	52185.4	1234830	194388.77755511
326697	51682	1233300	195390.781563126
310908	51483.2	1232840	196392.785571142
296096	51203.6	1232200	197394.789579158
280518	51015.9	1229070	198396.793587174
267523	50931.8	1229010	199398.79759519
253976	50874.3	1226660	200400.801603206
242112	50784.1	1225090	201402.805611222
235204	50774.6	1221600	202404.809619238
227310	50774.6	1219340	203406.813627255
219694	50608.6	1216400	204408.817635271
214139	50531.6	1213790	205410.821643287
208409	50453.5	1211520	206412.825651303
203860	50426.6	1207230	207414.829659319
198349	50419.1	1199280	208416.833667335
194571	50375.6	1193010	209418.837675351
191193	50255.8	1191360	210420.841683367
188008	50173.9	1185800	211422.845691383
185352	50112	1182060	212424.849699399
183115	50034.5	1175030	213426.853707415
180148	49930.6	1170950	214428.857715431
177262	49785.5	1169840	215430.861723447
174920	49732.1	1166080	216432.865731463
172379	49665.2	1162620	217434.869739479
169972	49591.7	1157780	218436.873747495
167870	49562.9	1154320	219438.877755511
166151	49473.9	1150360	220440.881763527
164330	49364.5	1143190	221442.885771543
162077	49313.1	1138490	222444.889779559
160580	49276.7	1134830	223446.893787575
159002	49248.3	1128920	224448.897795591
158257	49161	1120940	225450.901803607
157367	49111.5	1111060	226452.905811623
156061	49111.5	1106080	227454.909819639
154935	48998.5	1092600	228456.913827655
153878	48992.4	1082620	229458.917835671
152928	48992.4	1075440	230460.921843687
152106	48932.1	1071260	231462.925851703
151279	48820.7	1062930	232464.929859719
150411	48819.7	1056620	233466.933867735
149847	48819.7	1047720	234468.937875752
148910	48686.6	1037540	235470.941883768
148511	48686.6	1029780	236472.945891784
147929	48662.7	1024370	237474.9498998
147356	48658.5	1016370	238476.953907816
146839	48561.6	1011140	239478.957915832
146250	48534.6	999577	240480.961923848
145617	48510.7	988009	241482.965931864
145193	48473.4	975692	242484.96993988
144680	48447.5	966559	243486.973947896
144377	48388.7	954771	244488.977955912
144072	48366.6	941002	245490.981963928
143784	48366.6	930590	246492.985971944
143375	48366.6	917594	247494.98997996
142996	48366.6	913167	248496.993987976
142563	48314.5	904871	249498.997995992
142200	48314.5	893145	250501.002004008
141871	48314.5	882749	251503.006012024
141581	48314.5	875977	252505.01002004
141265	48281.2	866848	253507.014028056
141011	48281.2	856705	254509.018036072
