value	lower	upper	time
478914	60911.3	899234	340681.362725451
478914	60911.3	899234	341683.366733467
478914	60911.3	899234	342685.370741483
478914	60911.3	899234	343687.374749499
478914	60911.3	899234	344689.378757515
478914	60911.3	899234	345691.382765531
478914	60911.3	899234	346693.386773547
478914	60911.3	899234	347695.390781563
478914	60911.3	899234	348697.394789579
478914	60911.3	899234	349699.398797595
478232	56590.2	905372	350701.402805611
478232	56590.2	905372	351703.406813627
478232	56590.2	905372	352705.410821643
478232	56590.2	905372	353707.414829659
478232	56590.2	905372	354709.418837675
478232	56590.2	905372	355711.422845691
478232	56590.2	905372	356713.426853707
478232	56590.2	905372	357715.430861723
478232	56590.2	905372	358717.43486974
478232	56590.2	905372	359719.438877756
478637	53131.7	903804	360721.442885772
478637	53131.7	903804	361723.446893788
478637	53131.7	903804	362725.450901804
478637	53131.7	903804	363727.45490982
478637	53131.7	903804	364729.458917836
478637	53131.7	903804	365731.462925852
478637	53131.7	903804	366733.466933868
478637	53131.7	903804	367735.470941884
478637	53131.7	903804	368737.4749499
478637	53131.7	903804	369739.478957916
478038	50521.3	909555	370741.482965932
478038	50521.3	909555	371743.486973948
478038	50521.3	909555	372745.490981964
478038	50521.3	909555	373747.49498998
478038	50521.3	909555	374749.498997996
478038	50521.3	909555	375751.503006012
478038	50521.3	909555	376753.507014028
478038	50521.3	909555	377755.511022044
478038	50521.3	909555	378757.51503006
478038	50521.3	909555	379759.519038076
478294	47580.4	914562	380761.523046092
478294	47580.4	914562	381763.527054108
478294	47580.4	914562	382765.531062124
478294	47580.4	914562	383767.53507014
478294	47580.4	914562	384769.539078156
478294	47580.4	914562	385771.543086172
478294	47580.4	914562	386773.547094188
478294	47580.4	914562	387775.551102204
478294	47580.4	914562	388777.55511022
478294	47580.4	914562	389779.559118236
479113	43490.6	917179	390781.563126252
479113	43490.6	917179	391783.567134269
479113	43490.6	917179	392785.571142285
479113	43490.6	917179	393787.575150301
479113	43490.6	917179	394789.579158317
479113	43490.6	917179	395791.583166333
479113	43490.6	917179	396793.587174349
479113	43490.6	917179	397795.591182365
479113	43490.6	917179	398797.595190381
479113	43490.6	917179	399799.599198397
479569	43333.5	922093	400801.603206413
479569	43333.5	922093	401803.607214429
479569	43333.5	922093	402805.611222445
479569	43333.5	922093	403807.615230461
479569	43333.5	922093	404809.619238477
479569	43333.5	922093	405811.623246493
479569	43333.5	922093	406813.627254509
479569	43333.5	922093	407815.631262525
479569	43333.5	922093	408817.635270541
479569	43333.5	922093	409819.639278557
479353	40081.7	929122	410821.643286573
479353	40081.7	929122	411823.647294589
479353	40081.7	929122	412825.651302605
479353	40081.7	929122	413827.655310621
479353	40081.7	929122	414829.659318637
479353	40081.7	929122	415831.663326653
479353	40081.7	929122	416833.667334669
479353	40081.7	929122	417835.671342685
479353	40081.7	929122	418837.675350701
479353	40081.7	929122	419839.679358717
480424	39422.3	941483	420841.683366733
480424	39422.3	941483	421843.68737475
480424	39422.3	941483	422845.691382766
480424	39422.3	941483	423847.695390782
480424	39422.3	941483	424849.699398798
480424	39422.3	941483	425851.703406814
480424	39422.3	941483	426853.70741483
480424	39422.3	941483	427855.711422846
480424	39422.3	941483	428857.715430862
480424	39422.3	941483	429859.719438878
481307	38159.2	943491	430861.723446894
481307	38159.2	943491	431863.72745491
481307	38159.2	943491	432865.731462926
481307	38159.2	943491	433867.735470942
481307	38159.2	943491	434869.739478958
481307	38159.2	943491	435871.743486974
481307	38159.2	943491	436873.74749499
481307	38159.2	943491	437875.751503006
481307	38159.2	943491	438877.755511022
481307	38159.2	943491	439879.759519038
482921	35550.5	949453	440881.763527054
482921	35550.5	949453	441883.76753507
482921	35550.5	949453	442885.771543086
482921	35550.5	949453	443887.775551102
482921	35550.5	949453	444889.779559118
482921	35550.5	949453	445891.783567134
482921	35550.5	949453	446893.78757515
482921	35550.5	949453	447895.791583166
482921	35550.5	949453	448897.795591182
482921	35550.5	949453	449899.799599198
482882	34670.5	964192	450901.803607214
482882	34670.5	964192	451903.807615231
